Category,Name,Phone Number,Website,Address,Latitude,Longitude,Open Hours,Residency Required,Physician Referral Required,SSN Required,Insurance Required,Payment Required,Staff Speaks,In-Person Interpreter Available in Language,Hours of Operation Per Week
Clothing,Goodwill Almaden,(408) 265-5692,goodwillsv.org,"3060 Almaden Express Way, San Jose, CA 95118",37.277565,-121.878736,"9am-7pm Mon-Sat, 9am-6pm Sun",No,No,No,No,Yes,English,No,9am-6/7pm
Mental Health,Emergency Psychiatric Services,(408) 885-6100,sccgov.org/sites/bhd/Services/Emergency/EmergencyPsychiatricServices/Pages/default.aspx,"871 Enborg Ln, San Jose, CA 95128",37.311497,-121.934284,24/7,No,No,No,No,Yes,"English, Farsi, Korean, Mandarin, Spanish, Vietnamese.","Chinese, Farsi, Tagalog, Spanish, Vietnamese",24/7
Mental Health,Mental Health Urgent Care,(408) 885-7855,sccgov.org/sites/bhd/Services/Emergency/UrgentCare/Pages/default.aspx,"871 Enborg Ln, San Jose, CA 95128",37.311497,-121.934284,8am-10pm,No,No,No,No,No,"English, Farsi, Korean, Mandarin, Spanish, Vietnamese.","English, Farsi, Korean, Mandarin, Spanish, Vietnamese.",8am-10pm
Mental Health,National Alliance on Mental Illness,(408) 453-0400,namisantaclara.org,"1150 South Bascom Ave, San Jose, CA 95128",37.305120,-121.931277,Mon-Fri 10am-6pm,No,No,No,No,No,"English, Spanish","English, Spanish",10am-6pm
Mental Health,Eating Disorders Resource Center,(408) 559-5593,edrcsv.org,"2105 S Bascom Ave, Ste 220, Campbell, CA 95008",37.285113,-121.932191,Mon-Fri 9am-5pm,No,No,No,No,No,English,No,9am-5pm weekdays
Mental Health,Zephyr Self-Help Center,(408) 792-2140,sccgov.org/sites/bhd/info/PeerSupport/Self-HelpCenters/Pages/default.aspx,"1075 E Santa Clara St, San Jose, CA 95116",37.346897,-121.869477,Tues-Fri 9am-3pm,No,No,No,No,No,English,No,Tues-Fri 9am-3pm
Mental Health,Sourcewise,(408) 350-3200,mysourcewise.com,"2115 The Alameda, San Jose, CA 95126",37.343292,-121.929251,Mon-Fri 8am-5pm,No,No,No,No,No,English,No,Mon-Fri 8am-5pm
Mental Health,Uplift Family Services,(408) 379-9085,upliftfs.org,"251 Llewellyn Avenue, Campbell, CA 95008",37.291564,-121.959288,Open 24/7,No,No,No,No,No,"English, Spanish",Spanish,24/7
Mental Health,Bill Wilson Center,(408) 850-6125,billwilsoncenter.org,"3490 The Alameda, Santa Clara, CA 95050",37.353902,-121.941539,Mon-Fri 10am-6pm,No,No,No,No,No,English,No,Mon-Fri 10am-6pm
Mental Health,LGBT Youth Space,(408) 343-7940,youthspace.org,"452 South First St., San Jose, CA 95113",37.329462,-121.885317,Mon-Fri 3pm-9pm,No,No,No,No,No,English,No,Mon-Fri 3pm-9pm
Mental Health,Santa Clara County Public Health,(408) 794-0564,betterhealthrx.org,"725 E. Santa Clara St., Suite 202, San Jose, CA",37.343469,-121.875767,"MTW 4pm-8pm, Sat 9am-1pm",No,No,No,No,No,English,No,"MTW 4pm-8pm, Sat 9am-1pm"
Mental Health,Billy DeFrank LGBTQ+ Community Center,(408) 293-3040,defrankcenter.org,"938 The Alameda, San Jose, CA 95126",37.331477,-121.908013,"Mon: 6-9pm, Tues: 12-9pm, Wed: 10am-9pm, Thurs/Fri: 12-9pm, Sat 10am-4pm",No,No,No,No,No,English,No,"Mon: 6-9pm, Tues: 12-9pm, Wed: 10am-9pm, Thurs/Fri: 12-9pm, Sat 10am-4pm"
Reproductive Health,Planned Parenthood Gilroy,408-847-1739,plannedparenthood.org,"760 Renz Lane, Gilroy, CA 95020",37.004124,-121.555847,Mon-Fri 8:45am-5pm,No,No,No,No,No,"English, Spanish",Spanish,Mon-Fri 8:45am-5pm
Reproductive Health,Planned Parenthood Mountain View,650-948-0807,plannedparenthood.org,"225 San Antonio Road, Mountain View, CA, 94040",37.406119,-122.110229,M-F: 8:30am-5pm,No,No,No,No,No,"English, Spanish", Spanish; Tagalog; Hindi; Punjabi,Mon-Fri 8:30am-5pm
Reproductive Health,Planned Parenthood San Jose Central,408-287-7526,plannedparenthood.org,"1691 The Alameda, San Jose, CA 95126",37.337084,-121.919644,"Mon-Sat 8:30-5pm, Wed 8:30-7pm",No,No,No,No,No,"English, Spanish",Spanish; Vietnamese; Chinese; Tagalog,"Mon-Sat 8:30-5pm, Wed 8:30-7pm"
Reproductive Health,Planned Parenthood San Jose Blossom Hill,408-281-9777,plannedparenthood.org,"5440 Thornwood Drive,San Jose, CA 95123",37.253860,-121.860434,"Mon/Tues 8:30am-6:30pm, Wed-Fri 8:30am",No,No,No,No,No,"English, Spanish",Spanish,"Mon/Tues 8:30am-6:30pm, Wed-Fri 8:30am"
Reproductive Health,Planned Parenthood Eastside,408-729-7600,plannedparenthood.org,"3131 Alum Rock Avenue,San Jose, CA 95127",37.366526,-121.827425,"Mon/Thurs 8:30am-6pm, TWF 8:30-5pm",No,No,No,No,No,"English, Spanish","Spanish, Vietnamese","Mon/Thurs 8:30am-6pm, TWF 8:30-5pm"
Reproductive Health,Planned Parenthood Mar Monte,408-274-7100,plannedparenthood.org,"2470 Alvin Ave, San Jose, CA 95121",37.319732,-121.826666,"MTTHF: 8:40am-5pm, Wed: 8:40-6pm, Sat 8:40am-1pm",No,No,No,No,No,"English, Spanish",Spanish; Hindi; Punjab,"MTTHF: 8:40am-5pm, Wed: 8:40-6pm, Sat 8:40am-1pm"
Health,Gardner Health Services,(408)457-7100,gardnerfamilyhealth.org,"160 E. Virginia St., Suite 100, San Jose, CA 95112",37.325609,-121.877668,Mon-Fri 8:30-5pm,No,No,Yes,Yes,Yes,"English, Farsi, Korean, Mandarin, Spanish, Vietnamese.","English, Farsi, Korean, Mandarin, Spanish, Vietnamese.",Mon-Fri 8-5:30pm
Health,RotaCare,(408) 715-3088,https://www.rotacarebayarea.org/sanjose,"100 Oak Street, San Jose, CA 95110",37.321391,-121.881650,Wed 5pm-9pm,No,No,No,No,No,"English, Spanish",Spanish,Wed 5pm-9pm
Health,Children's Health Insurance Program (CHIP),(800) 318-2596,https://www.healthcare.gov/medicaid-chip/childrens-health-insurance-program/,"Children's Health Insurance Program, P.O. Box 138005, Sacramento, CA 95813",38.453904,-121.408987,8am-8pm,Yes,No,Yes,No,No,"Spanish, Vietnames, Khmer, Hmong, Armenian, Mandarin, Korean, Russian, Farsi",Yes,M-F 8am-8pm
Housing,Boccardo Regional Reception Center,(408) 294-2100,https://www.homefirstscc.org,"2011 Little Orchard St., San Jose, CA 95125",37.303572,-121.870506,Mon-Sat: 24 hours,No,No,,No,No,English,No,"M, T, TH, F: 8:30-4:30, W: 8:30-1"
Housing,Housing Authority,(408)275-8770,www.hacsc.org,"505 W. Julian St., San Jose, CA 95110",37.336019,-121.903135,M-F: 7:30am-5pm,,No,,,,,,M-F:7:30am-5pm
Housing,Sacred Heart Community Service,(408) 278-2160,www.sacredheartcs.org,"1381 South First st., San Jose, CA 95110",37.316486,-121.874603,"Mon/Wed/Thurs: 9am to 4pm, Tues: 9am to 6pm, Fri:9am-noon",No,No,,No,No,English,No,"Mon/Wed/Thurs: 9am to 4pm, Tues: 9am to 6pm, Fri:9am-noon"
Housing,West Valley Community Service,(408)255-8033,www.wvcommunityservices.org/housing,"10104 Vista Dr., Cupertino, CA 95014",37.323881,-122.027359,"M-F: 8:00 AM - 12:00 PM, 1:00 PM - 8:00 PM",,,,,,,,
Housing,Housing Choices,(408) 271-0820,www.housingchoices.org,"2202 N. First St., San Jose, CA 95131",37.377697,-121.920749,M-F: 8am to 6pm,,,,,,,,
Housing,Downtown Streets Team,(650) 305-1172,www.streetsteam.org,"1671 The Alameda, San Jose, CA 95126",37.336871,-121.918513,24/7,No,No,,No,No,,No,santa
Housing,Life Moves,(408)271- 0685,www.lifemoves.org,"184 South 11th Street, San Jose, CA 95112",37.3382649,-121.8776814,,No,No,,No,No,,,
housing,The Salvation Army-- The Emmanuel House,(408) 282-1175,https://siliconvalley.salvationarmy.org/silicon_valley/emmanuel-house/,"405 N 4th St, San Jose, CA 95112",37.3444149,-121.8925542,24/7,No,No,,No,No,,,24/7
Housing,Charities Housing,(408)550-8300,www.charitieshousing.org,"1400 Parkmoor Ave #190, San Jose, CA 95126",37.316160,-121.912609,M-F: 9:00am-5:00pm,,No,,,,,,M-F 9am-5pm
Housing,Silicon Valley Independent Living Center (SVILC),(408) 894-9041,www.svilc.com,"2202 N. First St., San Jose, CA 95131",37.377861,-121.920654,M-F: 9am to 5pm,,,,,,,,
Housing,Bay Area Legal Aid,510-663-4755,https://baylegal.org/,"North 2nd Street , Ste. 600, San Jose, CA 95113",37.337551,-121.889734,"M-F 9am-12pm,1pm-5pm",yes,No,,,No,,,"M-F 9am-12pm, 1pm-5pm"
Housing,CA Department of Fair Employment and Housing,(800)233-3212,https://www.dfeh.ca.gov/,"2218 Kausen Dr #100, Elk Grove, CA 95758",38.428280,-121.483893,M-F 8am-5pm,,No,,,,,no,
Housing,Law Foundation of Silicon Valley,(408) 293- 4790,http://www.lawfoundation.org/,"4 N 2nd St Suite 1300, San Jose, CA 95113",37.337591,-121.889895,"M-F: 9am-12pm, 1pm-5pm",,No,,,No,,,"M-F: 9am-12pm, 1pm-5pm"
Housing,Project Sentinel,(408) 470-3730,http://housing.org/,"554 Valley Way, Bldg. 4, Suite 554, Milpitas, CA 95035",37.427451,-121.914696,"M-F 9am-12pm, 1pm-4pm",,No,,,,,,"M-F 9am-12pm, 1pm-4pm"
Housing,Housing Trust of Silicon Valley,(408) 436-3450,https://housingtrustsv.org/,"75 E Santa Clara St # 1350, San Jose, CA 95113",37.337221,-121.889369,,,No,,,,,,
Housing,Northern California Land trust,(510) 548-7878,https://nclt.org/,"3120 Shattuck Ave, Berkeley, CA 94705",37.852737,-122.266340,,,No,,,,,,
Housing,Habitat for Humanity East Bay/ Silicon Valley- Oakland,(510) 803-3371,https://www.habitatebsv.org/,"2619 Broadway, Oakland CA 94612",37.815327,-122.265018,,No,No,,,,,,
Housing,Habitat for Humanity East Bay/ Silicon Valley- Milpitas,(408) 620-3411,https://www.habitatebsv.org/,"513 Valley Way, Milpitas, CA 95035",37.428148,-121.915793,,No,No,,,,,,
Housing,Money Management International,(866) 232-9080,www.moneymanagement.org,"1901 Harrison St #1100, Oakland, CA 94612",37.806776,-122.265552,"M,T,F 10am-7pm",,,,,,,,
Immigration,Santa Clara Law Group (San Jose),(408) 453-3500,www.santaclaralawgroup.com,"1922 The Alameda, Suite 300, San Jose, CA 95126",37.341633,-121.923219,"M-Th: 8:30am-5:00pm, F: 8:30am-12:00pm",,,No,,,,,
Immigration,Santa Clara Law Group (Santa Cruz),(831) 466-6766,www.santaclaralawgroup.com,"1500 41st Avenue, Suite 246, Capitola, CA 95010",36.972166,-121.964232,,,,,,,,,
Immigration,Asian Law Alliance,(408) 287-9710,http://asianlawalliance.org/,"991 W. Hedding Street #202, San Jose, CA 95126",37.342265,-121.921301,"M, W, Th: 9:00am-11:30am & 1:00pm-3:30pm; T, F: 9:00am-11:30am",,,,,,"English, Mandarin, Cantonese, Spanish, Vietnamese, Tagalog, Korean","English, Mandarin, Cantonese, Spanish, Vietnamese, Tagalog, Korean",
Immigration,Asian Pacific Islander Legal Outreach (San Francisco),415) 567-6255,https://www.apilegaloutreach.org/,"1121 Mission St, San Francisco, CA 94103",37.778650,-122.411306,M-F: 9:00am-5:00pm,,,,,No,"English, Cantonese, Chiu-chow, Gujarati, Hindi, Japanese, Korean, Mandarin, Punjabi, Tagalog, Taiwanese, Toisan, Vietnamese, Arabic, Russian, and Spanish.",Yes,
Immigration,Asian Pacific Islander Legal Outreach (Oakland),(510) 251-2846,https://www.apilegaloutreach.org/,"310 8th St., Suite 308, Oakland, CA 94607",37.778633,-122.411188,M-F: 9:00am-5:00pm,,,,,No,"English, Cantonese, Chiu-chow, Gujarati, Hindi, Japanese, Korean, Mandarin, Punjabi, Tagalog, Taiwanese, Toisan, Vietnamese, Arabic, Russian, and Spanish.","English, Cantonese, Chiu-chow, Gujarati, Hindi, Japanese, Korean, Mandarin, Punjabi, Tagalog, Taiwanese, Toisan, Vietnamese, Arabic, Russian, and Spanish.",
Immigration,Catholic Charities (San Mateo),(650) 295-2160,https://www.catholiccharitiessf.org/,"36 37th Ave, San Mateo, CA 94403",37.534363,-122.295320,M: Registration at 8 am,Yes,,,,Yes,"English, French, Spanish","English, French, Spanish",M: 8AM
Immigration,Catholic Charities (San Francisco),(415) 972-1200,https://www.catholiccharitiessf.org/,"990 Eddy Street, San Francisco, CA 94109",37.782799,-122.424008,M: 8:45-2,,,,,Yes,"English, French, Spanish","English, French, Spanish",
Resettlement,Catholic Charities Santa Clara County,(408) 944-0691,https://www.catholiccharitiesscc.org/,"2625 Zanker Rd, San Jose, CA 95134",37.388400,-121.925495,,,,,,,,,
Immigration,Center for Employment Training,(408) 534-5451,http://cetweb.edu/,"701 Vine St, San Jose, CA 95110",37.322989,-121.887235,,,,,,,,,
Immigration,Coastside Hope,(650) 726-7096,https://cetweb.edu/,"99 Ave Alhambra #1089, El Granada, CA 94018",37.505353,-122.480062,"M, T, Th, F: 8:00am-12:00pm & 1:00pm-5:00pm; W: 11:00am-12:00pm & 1:00pm-5:00pm",,,,,,,,
Immigration,Community Legal Services in East Palo Alto,(650) 326-6440,https://clsepa.org/,"1861 Bay Rd, East Palo Alto, CA 94303",37.472937,-122.133376,M-F: 9:00am-5:00pm,,,,,,,,
Immigration,Immigration Services of Mountain View,(650) 938-4911,http://www.ismv.org/,"1058 W Evelyn Ave #30, Sunnyvale, CA 94086",37.383479,-122.047638,M-F: 10:00am-6:00pm,,,,,,,,
Immigration,International Institute of the Bay Area (Redwood City),(650) 780-7530,https://iibayarea.org/,"2600 Middlefield Rd, Redwood City, CA 94063",37.477315,-122.213138,,,,,,,,,
Immigration,International Institute of the Bay Area  (San Francisco),(415) 538-8100,https://iibayarea.org/,"1111 Market St 4th floor, San Francisco, CA 94103",37.780069,-122.412691,,,,,,,,,
Immigration,International Institute of the Bay Area (Antioch),(925) 237-8581,https://iibayarea.org/,"121 Sand Creek Rd suite b, Brentwood, CA 94513",37.947226,-121.698370,,,,,,,,,
Immigration,International Institute of the Bay Area (Oakland),(510) 451-2846,https://iibayarea.org/,"476 3rd St, Oakland, CA 94607",37.947226,-121.698370,,,,,,,,,
Immigration,International Institute of the Bay Area (Fremont),(510) 894-3585,https://iibayarea.org/,"39055 Hasting Street, Suite 202, Fremont, CA 94538",37.550782,-121.983253,,,,,,,,,
Immigration,International Institute of the Bay Area (Napa),(707) 266-1568,https://iibayarea.org/,"1785 3rd St, Napa, CA 94559",38.295480,-122.293372,,,,,,,,,
Immigration,International Rescue Committee (San Jose),(408) 277-0255,https://www.rescue.org/,"1210 S Bascom Ave #227, San Jose, CA 95128",37.303892,-121.931275,,,,,,,,,
Immigration,International Rescue Committee (Oakland),(510) 452-8222,https://www.rescue.org/,"440 Grand Ave #500, Oakland, CA 94610",37.808923,-122.253050,,,,,,,,,
Immigration,Katharine & George Alexander Community Law Center,(408) 288-7030,https://law.scu.edu/kgaclc/,"1030 The Alameda, San Jose, CA 95126",37.331285,-121.910093,M-F: 9:00am-4:30pm,,,,,,,,
Immigration,La Raza Centrol Legal,(415) 575-3500,http://www.lrcl.org/,"474 Valencia St # 295, San Francisco, CA 94103",37.765416,-122.422407,,,,,,,,,
Food,Food Bank for Monterey County,(831) 758-1523,https://www.foodbankformontereycounty.org/,"353 W Rossi St, Salinas, CA 93907",36.684655,-121.664520,24/7,,,,,,,,
Food,Our Lady of Mount Carmel,(831) 659-2224,https://www.ourladycarmelvalley.org/,"9 El Caminito Rd, Carmel Valley, CA 93924",36.480058,-121.730213,,,,,,,,,
Food,Thomas Carmen Food Pantry,(831) 578-2546,https://www.thomascarmenfoodpantry.org/,"425 Carmel Ave, Marina, CA 93933",36.677059,-121.786971,"Tu: 5:00pm-7:00pm, Sat: 9:00am-11:00am",,,,,,,,
Food,Samaritan House San Mateo,(650) 347-3648,https://samaritanhousesanmateo.org/,"4031 Pacific Blvd, San Mateo, CA 94403",37.530921,-122.288206,M-F: 9:00am-5:00pm,,,,,,,,
Food,Community Food Bank of San Benito County,(831) 637-0340,https://communityfoodbankofsbc.org/,"1133 San Felipe Rd, Hollister, CA 95023",36.873033,-121.400037,,,,,,,,,
Food,Second Harvest Food Bank (Santa Cruz),(831) 662-0991,https://www.thefoodbank.org/,"800 Ohlone Pkwy, Watsonville, CA 95076",36.902938,-121.773273,,,,,,,,,
Food,Second Harvest Food Bank - Curtner Center,(408) 266-8866,https://www.shfb.org/,"750 Curtner Avenue, San Jose CA 95125",37.291967,-121.877074,,,,,,,,,
Food,Second Harvest Food Bank - Cypress Center,(408) 266-8866,https://www.shfb.org/,"4001 North 1st Street, San Jose CA 95134",37.413370,-121.952080,,,,,,,,,
Food,Second Harvest Food Bank - Bing Center,(650) 610-0800,https://www.shfb.org/,"1051 Bing Street, San Carlos, CA 94070",37.496128,-122.244561,,,,,,,,,
Food,Sunnyvale Community Service,(408) 738-4321,https://svcommunityservices.org/,"725 Kifer Rd, Sunnyvale, CA 94086",37.376072,-122.015190,M-F: 9:00am-11:30am and 1:00pm-4:00pm,,,,,,,,
Food,Samaritan House South,(650) 294-4312,https://samaritanhousesanmateo.org/,"1852 Bay Rd, East Palo Alto, CA 94303",37.472287,-122.133097,"M-W, F: 9:00am-12:00pm & 12:30pm-5:00pm; Th: 9:00am-12:00pm",,,,,,,,
Food,San Francisco-Marin Food Bank (SF),(415) 282-1900,https://www.sfmfoodbank.org/programs/,"900 Pennsylvania Avenue, San Francisco, CA 94107",37.754631,-122.393819,M-F: 8am-5pm,,No,,No,No,,,
Food,San Francisco-Marin Food Bank (Marin),(415) 883-1302,https://www.sfmfoodbank.org/programs/,"2550 Kerner Boulevard, San Rafael, CA 94901",37.950118,-122.490816,M-F: 8am-3pm,,No,,No,No,,,
Food,Alameda County Food Bank,510) 635-FOOD (3663),https://www.accfb.org/,"7900 Edgewater Drive, Oakland, CA 94621",37.741721,-122.201409,M-F: 9am-5pm,,No,,No,No,,,
Food,San Jose Bishops Storehouse,(408) 986-8987,," 2295 Ringwood Ave, San Jose, CA 95131 ",37.402281,-121.899726,"Tuesday 12-7, Wed 9-3",No,No,,No,No,English,,
Food,Health Trust - The Food Basket,(408) 297-1294,healthtrust.org,"1043 Garland Ave, San Jose, CA 95126",37.330106,-121.911218,,,,,,,,,
Food,West Valley Community Services,(408) 255-8033,https://www.wvcommunityservices.org/,"10104 Vista Dr, Cupertino, CA 95014",37.323826,-122.027344,M-F:8am-11:15am & 1pm-4:15pm,,,,,,,,
Food,Santa Maria Urban Ministry,(408) 292-3314,https://www.santamariasj.org/,"778 Almaden Avenue, San Jose, CA 95110",37.322758,-121.884861,M-Fr: 9am-11:45am & Every 1st and 3rd Saturday: 9am-11:45am,,,,,,,,
Food,Martha's Kitchen,(408) 293-6111,http://www.marthas-kitchen.org/,"311 Willow St, San Jose, CA 95110",37.317452,-121.885045,Dinner on Tuesdays and Wednesdays from 4:00 - 5:00 p.m. and breakfast on Thursdays from 8:30 - 9:30 a.m. onsite,,,,,,,,
Food,Milpitas Food Pantry,(408) 946-5564,http://milpitasfoodpantry.org/contact/,"1440 S Main St, Milpitas, CA 95035",37.409795,-121.901221,"M-T: 9am-1 pm, Wednesday Evening: 6-8pm, S: 9am-12pm. ",,,,,,,,
Food,Recovery Cafe San Jose,(408) 294-2963,http://recoverycafesj.org/,"80 S 5th St, San Jose, CA 95112",37.337128,-121.885099,"Tuesdays and Wednesdays 12:00-6:00, and Thursdays, Fridays and Saturdays from 12:00-4:30.",,,,,,,,
Food,Loaves & Fishes Family Kitchen (Administrative Office),(408) 922-9085,http://www.sjaacsa.com/,"1534 Berger Dr, San Jose, CA 95112",37.371924,-121.897207,"Monday - Friday, 9am-5pm",,,,,,,,
Food,> Eastside Neighborhood Center,(408) 251-0215,https://www.catholiccharitiesscc.org/eastside-neighborhood-center,"2150 Alum Rock Ave, San Jose, CA 95116",37.356535,-121.846853,Meals are served Monday through Friday at 4:30pm,,,,,,,,
Food,> Goodwill Industries,(408) 998-5774,https://goodwillsv.org/,"1080 North 7th St, San Jose, CA 95112",37.359236,-121.898039,Meals are served Monday through Friday at 4:30pm,,,,,,,,
Food,> San Jose Vietnamese Seventh-day Adventist Church,(408) 287-2286,,"1066 S 2nd St, San Jose, CA 95112",37.321237,-121.877615,Monday & Thursday at 4:30pm,,,,,,,,
Food,Lord's Pantry,(408) 258-7563,https://www.lordspantrygdlcsj.com,"121 S White Rd, San Jose, CA 95127",37.364379,-121.826843,"The Pantry is open Monday, Tuesday, Thursday and Friday  9:00 am - 3:00 pm; Wednesday 12:30 pm - 3:00 pm",,,,,,,,
Financial,AnewAmerica,408-326-2669,https://anewamerica.org/en/,"210 N 4th St, Suite 205, San Jose, CA 95112",37.341068,-121.889509,M-F: 9:00am-5:00pm,,,,,No,,,M-F: 9:00 AM - 5:00 PM
Financial,Excite Credit Union Blossom,408-979-3640,https://www.alliancecu.org,"848 Blossom Hill Rd A, San Jose, CA 95123",37.250073,-121.858395,"M-F: 9:00am-6:00pm, Sat: 9am-2pm",,,,,,,,
Financial,Ways To Work Auto Loan Program,650-403-4300,https://www.peninsulafamilyservice.org/,"24 2nd Ave, San Mateo, CA 94401",37.564069,-122.325794,N/A (Online),,,,,No,,,
Financial,Peninsula Family Service,650-403-4301,https://www.peninsulafamilyservice.org/,"24 2nd Ave, San Mateo, CA 94401",37.564069,-122.325794,,,,,,,,,
LGBT,"County of Santa Clara, Office of LGBTQ Affairs",(408) 299-5193,https://www.sccgov.org/sites/lgbtq/Pages/lgbtq.aspx," 70 W. Hedding Street Office of the County Executive, East Wing—11th Floor, San Jose, CA 95110",37.352803,-121.903614,,,,,,,,,
LGBT,LGBT Youth Space,(408) 343-7940,youthspace.org,"452 South First St., San Jose, CA 95113",37.329462,-121.885317,Mon-Fri 3pm-9pm,No,No,No,No,No,English,No,Mon-Fri 3pm-9pm